"Code","Code2","Term"
5551,"E01/0001/1","ARGENTINA [11]"
5552,"E01/0002/2","BUENOS AIRES"
5553,"E01/0003/3","MUSEO ETNOGR�FICO DE LA FACULTAD DE FILOSOF�A Y LETRAS [11/001]"
5554,"E01/0004/3","MUSEO NACIONAL DE ARTE ORIENTAL [11/002]"
5555,"E01/0005/2","LA PLATA"
5556,"E01/0006/3","MUSEO DE CIENCIAS NATURALES DE LA PLATA [11/003]"
5557,"E01/0007/1","ARMENIA [62]"
5558,"E01/0008/2","YEREVAN"
5559,"E01/0010/3","STATE MUSEUM OF HISTORY OF ARMENIA [62/002]"
5560,"E01/0009/3","STATE PICTURE GALLERY OF ARMENIA [62/001]"
5561,"E01/0014/1","AUSTRALIA [12]"
5562,"E01/0015/2","ADELAIDE"
5563,"E01/0016/3","SOUTH AUSTRALIAN MUSEUM [12/001]"
5564,"E01/0017/3","UNIVERSITY MUSEUM OF CLASSICAL ARCHAEOLOGY [12/002]"
5565,"E01/0018/2","HOBART"
5566,"E01/0019/3","TASMANIAN MUSEUM AND ART GALLERY [12/003]"
5567,"E01/0020/2","MELBOURNE"
5568,"E01/0021/3","AUSTRALIAN INSTITUTE OF ARCHAEOLOGY [12/004]"
5569,"E01/0022/3","NATIONAL GALLERY OF VICTORIA [12/005]"
5570,"E01/0023/3","NATIONAL MUSEUM OF VICTORIA [12/006]"
5571,"E01/0024/2","ST. LUCIA (QUEENSLAND)"
5572,"E01/0025/3","UNIVERSITY OF QUEENSLAND MUSEUM [12/007]"
5573,"E01/0026/2","SYDNEY"
5574,"E01/0027/3","AUSTRALIAN MUSEUM [12/008]"
5575,"E01/0028/3","MACQUARIE UNIVERSITY, SCHOOL OF HISTORY, PHILOSOPHY AND POLITICS [12/009]"
5576,"E01/0029/3","NICHOLSON MUSEUM OF ANTIQUITIES [12/010]"
5577,"E01/0030/1","AUSTRIA [09]"
5578,"E01/0031/2","BAD DEUTSCH-ALTENBURG"
5579,"E01/0032/3","MUSEUM CARNUNTINUM [09/003]"
5580,"E01/0033/2","GRAZ"
5581,"E01/0034/3","STEIERM�RKISCHES LANDESMUSEUM JOANNEUM [09/004]"
5582,"E01/0035/2","HALLSTATT"
5583,"E01/0036/3","PR�HISTORISCHES MUSEUM/HEIMATHAUS [09/005]"
5584,"E01/0037/2","INNSBRUCK"
5585,"E01/0038/3","TIROLER LANDESMUSEUM FERDINANDEUM [09/006]"
5586,"E01/0039/2","KLAGENFURT"
5587,"E01/0040/3","K�RNTNER LANDESMUSEUM [09/007]"
5588,"E01/0041/2","LINZ"
5589,"E01/0042/3","OBER�STERREICHISCHES LANDESMUSEUM FRANCISCO-CAROLINUM [09/008]"
5590,"E01/0043/3","STADTMUSEUM NORDICO [09/009]"
5591,"E01/0044/2","OBERTRAUN AM HALLST�TTERSEE"
5592,"E01/0045/3","DACHSTEINMUSEUM (H�HLENMUSEUM) [09/010]"
5593,"E01/0046/2","VIENNA"
5594,"E01/0047/3","KUNSTHISTORISCHES MUSEUM [09/001]"
5595,"E01/0048/3","MUSEUM F�R V�LKERKUNDE [09/002]"
5596,"E01/0011/1","AZERBAIJAN [63]"
5597,"E01/0012/2","BAKU"
5598,"E01/0013/3","MUSEUM OF HISTORY OF AZERBAIJAN [63/001]"
5599,"E01/0049/1","BELGIUM [07]"
5600,"E01/0050/2","ANTWERP"
5601,"E01/0051/3","MUSEUM VLEESHUIS [07/005]"
5602,"E01/0052/2","ARLON"
5603,"E01/0053/3","MUS�E LUXEMBOURGEOIS [07/006]"
5604,"E01/0054/2","BRUSSELS"
5605,"E01/0055/3","ARCHIVES ET MUS�E DE LA LITT�RATURE, BIBLIOTH�QUE ROYALE ALBERT I [07/002]"
5606,"E01/0057/3","KMKG - MRAH [07/003]"
5607,"E01/0058/3","PALAIS ROYAL [07/004]"
5608,"E01/1496/2","GENT"
5609,"E01/0056/3","COLLECTION UNIVERSITAIRE [07/001]"
5610,"E01/0059/2","LEUVEN"
5611,"E01/1497/3","COLLECTION UNIVERSITAIRE CATHOLIQUE [07/010]"
5612,"E01/0060/3","MUS�E DE LOUVAIN-LA-NEUVE [07/007]"
5613,"E01/0061/2","LI�GE"
5614,"E01/0062/3","MUS�E CURTIUS [07/008]"
5615,"E01/0063/2","MARIEMONT"
5616,"E01/0064/3","MUS�E ROYAL ET DOMAINE DE MARIEMONT [07/009]"
5617,"E01/0065/1","BRAZIL [13]"
5618,"E01/0066/2","RIO DE JANEIRO"
5619,"E01/0067/3","MUSEU NACIONAL [13/001]"
5620,"E01/0068/2","S�O PAULO"
5621,"E01/0069/3","MUSEU DE ARQUEOLOG�A E ETNOLOG�A DA UNIVERSIDADE DE S�O PAULO [13/002]"
5622,"E01/0070/1","CANADA [14]"
5623,"E01/0071/2","MONTREAL"
5624,"E01/0072/3","MCGILL UNIVERSITY ETHNOLOGICAL MUSEUM [14/001]"
5625,"E01/0073/3","MUS�E DES BEAUX-ARTS DE MONTREAL [14/002]"
5626,"E01/1130/2","NIAGARA FALLS"
5627,"E01/1131/3","NIAGARA FALLS MUSEUM [14/007]"
5628,"E01/0074/2","QUEBEC"
5629,"E01/0075/3","LAVAL UNIVERSITY MUSEUM [14/003]"
5630,"E01/0076/2","REGINA (SASKATCHEWAN)"
5631,"E01/0077/3","NORMAN MACKENZIE ART GALLERY [14/004]"
5632,"E01/0078/2","TORONTO"
5633,"E01/0079/3","ROYAL ONTARIO MUSEUM [14/005]"
