ConstituentID,ConstituentTypeID,ReferenceID,Title,BoilerText,DisplayDate,MainPathName,MainFileName
8,3,485,"Mélanges Gamal Eddin Mokhtar, vol. I, pp. 379-394, ""The Khufu Statuette: Is it an Old Kingdom Sculpture?""","Hawass, Zahi. ""The Khufu Statuette: Is it an Old Kingdom Sculpture?"" In Paule Posener-Kriéger, ed. <I>Mélanges Gamal Eddin Mokhtar</I>, vol. I. Cairo: Institut Français d'Archéologie Orientale, 1985, pp. 379-394.<BR>",1985,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hawass_fs_mokhtar.pdf
11,3,234,Excavations at Gîza 1: 1929-1930,"Hassan, Selim. <I>Excavations at Gîza 1: 1929-1930</I>. Cairo &amp; Oxford: Faculty of Arts of the Egyptian University &amp; Oxford University Press, 1932.",1932,Y:\\images\MFA-images\Giza\GizaImage\full\library\,hassan_giza_1.pdf
11,3,515,"Göttinger Miszellen 164 (1998), pp. 7-14, ""The Tombs of Khamerernebty I and II at Giza""","Baud, Michel. ""The Tombs of Khamerernebty I and II at Giza."" <I>Göttinger Miszellen</I> 164 (1998), pp. 7-14.",1998,Y:\\images\MFA-images\Giza\GizaImage\full\library\,baud_gm_164_1998.pdf
11,3,528,"Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), pp. 11-21, ""La tombe de la reine-mère xa-mrr-Nbtj Ire""","Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" <I>Bulletin de l'Institut Français d'Archéologie Orientale </I>95 (1995), pp. 11-21.",1995,Y:\\images\MFA-images\Giza\GizaImage\full\library\,baud_bifao_95_1995.pdf
12,3,138,Urkunden des Alten Reichs. Erster Band,"Sethe, Kurt. <I>Urkunden des Alten Reichs. Erster Band</I>. Urkunden des Ägyptischen Altertums Abteilung 1, Hft. 1-4. Leipzig: J.C. Hinrichs'sche Buchhandlung, 1903/1933.",1933,Y:\\images\MFA-images\Giza\GizaImage\full\library\sethe_urk_I\,sethe_urk_I.pdf
12,3,255,Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California,"Lutz, Henry F. <I>Egyptian Statues and Statuettes in the Museum of Anthropology of the University of California</I>. University of California Publications. Egyptian Archaeology 5. Leipzig: J.C. Hinrichs, 1930.<BR>",1930,Y:\\images\MFA-images\Giza\GizaImage\full\library\,lutz_statues.pdf
12,3,260,Egyptian Tomb Steles and Offering Stones of the Museum of Anthropology and Ethnology of the University of California,"Lutz, Henry F. <I>Egyptian Tomb Steles and Offering Stones of the Museum of Anthropology and Ethnology of the University of California</I>. University of California Publications. Egyptian Archaeology 4. Leipzig: J.C. Hinrichs, 1927.",1927,Y:\\images\MFA-images\Giza\GizaImage\full\library\,lutz_steles.pdf
24,3,35,"Studies in Honor of William Kelly Simpson 1, pp. 55-81, ""Preservation and Presentation of Self in Ancient Egyptian Portraiture""","Assmann, Jan. ""Preservation and Presentation of Self in Ancient Egyptian Portraiture."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson</I> 1. Boston: Museum of Fine Arts, Boston, 1996, pp. 55-81.",1996,Y:\\images\MFA-images\Giza\GizaImage\full\library\,assmann_fs_simpson1996.pdf
24,3,57,"Bulletin of the Museum of Fine Arts, Boston 41, No. 243 (February 1943), p. 10, ""An Experiment with an Egyptian Portrait, Ankh-haf in Modern Dress""","Dunham, Dows. ""An Experiment with an Egyptian Portrait, Ankh-haf in Modern Dress."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 41, No. 243 (February 1943), p. 10.",February 1943,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa41_1943_10.pdf
24,3,66,"Bulletin of the Museum of Fine Arts, Boston 37, No. 221 (June 1939), pp. 42-46, ""The Portrait Bust of Prince Ankh-haf""","Dunham, Dows. ""The Portrait Bust of Prince Ankh-haf."" <I>Bulletin of the Museum of Fine Arts, Boston </I>37, No. 221 (June 1939), pp. 41-46.",June 1939,Y:\\images\MFA-images\Giza\GizaImage\full\library\bmfa_pdfs\,bmfa37_1939_41to46.pdf
24,3,151,"American Journal of Archaeology 45 (1941), pp. 514–28., ""Old Kingdom Sculpture""","Smith, William Stevenson. ""Old Kingdom Sculpture."" <I>American Journal of Archaeology</I> 45 (1941), pp. 514-528.",1941,Y:\\images\MFA-images\Giza\GizaImage\full\library\,smith_aja_45_1941.pdf
