MediaMasterID,MediaTypeID,ConstituentID,ConstituentTypeID,Role,RoleID,DisplayName,DisplayDate,Remarks,ThumbPathName,ThumbFileName,ArchIDNum
9333,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703303?width=170&height=170,460356231
9334,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703305?width=170&height=170,460356231
9335,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703307?width=170&height=170,460356231
9336,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703309?width=170&height=170,460356231
9337,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703311?width=170&height=170,460356231
9338,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703313?width=170&height=170,460356231
9339,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703315?width=170&height=170,460356231
9340,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703317?width=170&height=170,460356231
9341,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703319?width=170&height=170,460356231
9342,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703321?width=170&height=170,460356231
9343,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703323?width=170&height=170,460356231
9344,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703327?width=170&height=170,464182786
9345,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703329?width=170&height=170,460356231
9346,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703331?width=170&height=170,460356231
9347,1,1104,1,Photographer,11,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.",https://nrs.harvard.edu,urn-3:FHCL:37703333?width=170&height=170,460356231
9348,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703335?width=170&height=170,464182786
9349,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703337?width=170&height=170,464182786
9350,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703419?width=170&height=170,464182786
9351,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703421?width=170&height=170,464182786
9352,1,929,1,Photographer,11,Said Ahmed Said [Diraz] (Reis),NULL,"Head Reis for the Harvard-MFA expedition, 1908–1926. In his ""A History of the Giza Necropolis I,"" George A Reisner described Said Ahmed Said as ""the most gifted foreman who ever worked for the expedition.""  Father of Mohammed Said Ahmed [Diraz] (Head Reis 1936–1939), Mahmud Said Ahmed [Diraz] (Translator), Ahmed Said Ahmed [Diraz]. Family name, Diraz, was supplied by Said Ahmed Said's grandsons in 2006.",https://nrs.harvard.edu,urn-3:FHCL:37703423?width=170&height=170,464182786
