ObjectID,ClassificationID,AltNum,Description
1765,1,OR.Vol.12:p.646,Previous Number
2889,5,Vol.07.p.028,Previous Number
2894,5,Vol.07.p.037,Previous Number
2896,5,Vol.07.p.009[?],Previous Number
2900,5,Vol.07.p.004[?],Previous Number
2901,5,Vol.07.p.016,Previous Number
2903,5,Vol.07.p.013[?],Previous Number
2904,5,Vol.07.p.025,Previous Number
2905,5,Vol.07.p.034,Previous Number
2906,5,Vol.07.p.006[?],Previous Number
2908,5,Vol.07.p.001[?],Previous Number
2911,5,Vol.07.p.010[?],Previous Number
2912,5,Vol.07.p.022,Previous Number
2913,5,Vol.07.p.031,Previous Number
2914,5,Vol.07.p.003[?],Previous Number
2921,5,Vol.07.p.007[?],Previous Number
2923,5,Vol.07.p.019,Previous Number
3080,5,Vol.07.p.015[?],Previous Number
3082,5,Vol.07.p.027,Previous Number
3147,5,Vol.07.p.018,Previous Number
3150,5,Vol.07.p.036,Previous Number
3151,5,Vol.07.p.008[?],Previous Number
3156,5,Vol.07.p.012[?],Previous Number
3157,5,Vol.07.p.024,Previous Number
3158,5,Vol.07.p.033,Previous Number
3159,5,Vol.07.p.005[?],Previous Number
3164,5,Vol.07.p.021,Previous Number
3166,5,Vol.07.p.030,Previous Number
3168,5,Vol.07.p.002[?],Previous Number
3303,5,Vol.07.p.017,Previous Number
3306,5,Vol.07.p.014[?],Previous Number
3307,5,Vol.07.p.026,Previous Number
3308,5,Vol.07.p.035,Previous Number
3309,5,Vol.07.p.007.dup.1,Previous Number
3314,5,Vol.07.p.011[?],Previous Number
3315,5,Vol.07.p.023,Previous Number
3316,5,Vol.07.p.032,Previous Number
3324,5,Vol.07.p.020,Previous Number
3328,5,Vol.07.p.029,Previous Number
5590,139,EG010005,Previous Number
5663,139,EG000490,Previous Number
5805,89,HUMFA_24-11-64,Harvard University-Boston Museum of Fine Arts excavation number
5805,89,EMC_SR_2/10847,Cairo Special Register number
5962,89,HUMFA_24-11-145,Harvard University-Boston Museum of Fine Arts excavation number
5962,89,EMC_SR_2/10848,Cairo Special Register number
6042,89,HUMFA_24-11-818,Harvard University-Boston Museum of Fine Arts excavation number
6042,89,EMC_SR_2/10852,Cairo Special Register number
6931,129,HUMFA_24-12-264,Harvard University-Boston Museum of Fine Arts excavation number
6931,129,EMC_SR_2/10851,Cairo Special Register number
7106,38,HUMFA_24-12-391,Harvard University-Boston Museum of Fine Arts excavation number
7106,38,EMC_SR_2/10849,Cairo Special Register number
8975,89,HUMFA_24-12-1182,Harvard University-Boston Museum of Fine Arts excavation number
8975,89,EMC_SR_2/10850,Cairo Special Register number
8997,97,HUMFA_24-12-1204,Harvard University-Boston Museum of Fine Arts excavation number
8997,97,EMC_SR_GB/121,Cairo Special Register number
8998,97,EMC_JE_54938,Journal d'Entree number
8998,97,EMC_SR_2/14701,Cairo Special Register number
8998,97,HUMFA_24-12-1205,Harvard University-Boston Museum of Fine Arts excavation number
9350,18,EMC_JE_51903,Journal d'Entree number
9350,18,EMC_SR_3/6948,Cairo Special Register number
9350,18,HUMFA_25-2-735,Harvard University-Boston Museum of Fine Arts excavation number
9351,18,HUMFA_25-2-736,Harvard University-Boston Museum of Fine Arts excavation number
9351,18,EMC_SR_3/6949,Cairo Special Register number
9514,87,25-2-382a,Previous Number
10207,84,EMC_JE_51902,Journal d'Entree number
10207,84,EMC_SR_7/3039,Cairo Special Register number
10207,84,HUMFA_25-3-256,Harvard University-Boston Museum of Fine Arts excavation number
10212,57,HUMFA_25-3-261,Harvard University-Boston Museum of Fine Arts excavation number
10212,57,EMC_SR_2/571,Cairo Special Register number
11386,116,48.183a-d,Accession Number
11798,18,HUMFA_26-1-132,Harvard University-Boston Museum of Fine Arts excavation number
11798,18,EMC_SR_2/15708,Cairo Special Register number
11798,18,EMC_JE_72142,Journal d'Entree number
13279,18,HUMFA_27-3-629,Harvard University-Boston Museum of Fine Arts excavation number
13279,18,EMC_SR_3/982,Cairo Special Register number
13489,116,HUMFA_27-3-715,Harvard University-Boston Museum of Fine Arts excavation number
13489,116,EMC_SR_2/15008,Cairo Special Register number
13955,97,HUMFA_26-2-207,Harvard University-Boston Museum of Fine Arts excavation number
13955,97,EMC_SR_GB/120,Cairo Special Register number
14344,58,EMC_JE_54939,Journal d'Entree number
14344,58,EMC_SR_2/14651,Cairo Special Register number
14344,58,HUMFA_27-4-951,Harvard University-Boston Museum of Fine Arts excavation number
14738,88,MFAB_29.3054,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3055,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3056,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3057,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3059,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3058,"Museum of Fine Arts, Boston accession number"
14738,88,EMC_SR_4/10147,Cairo Special Register number
14738,88,MFAB_29.3060,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3061,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3062,"Museum of Fine Arts, Boston accession number"
14738,88,MFAB_29.3063,"Museum of Fine Arts, Boston accession number"
14738,88,EMC_JE_53907,Journal d'Entree number
14742,88,EMC_SR_4/10152,Cairo Special Register number
14742,88,MFAB_29.3068,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3069,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3070,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3071,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3072,"Museum of Fine Arts, Boston accession number"
14742,88,EMC_TR_3.4.30.14,Cairo Temporary Register number
14742,88,MFAB_29.3079,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3080,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3081,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3082,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3083,"Museum of Fine Arts, Boston accession number"
14742,88,EMC_JE_53906,Journal d'Entree number
14742,88,MFAB_29.3073,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3074,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3075,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3076,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3077,"Museum of Fine Arts, Boston accession number"
14742,88,MFAB_29.3078,"Museum of Fine Arts, Boston accession number"
14745,88,EMC_SR_4/10184,Cairo Special Register number
14745,88,MFAB_ 29.3084,"Museum of Fine Arts, Boston accession number"
14745,88,MFAB_ 29.3085,"Museum of Fine Arts, Boston accession number"
14745,88,MFAB_ 29.3086,"Museum of Fine Arts, Boston accession number"
14745,88,MFAB_ 29.3087,"Museum of Fine Arts, Boston accession number"
14745,88,MFAB_ 29.3088,"Museum of Fine Arts, Boston accession number"
