ID,ReferenceID,Title,BoilerText,ClassificationID,DisplayDate,MainPathName,MainFileName
6,95,"Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings III. Memphis (Giza pages only)","Porter, Bertha, and Rosalind L.B. Moss. <I>Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings </I>3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: <I>M</I>emphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974.",1,1974,Y:\\images\MFA-images\Giza\GizaImage\full\library\,porter-moss_III_giza.pdf
6,129,"Annales du Service des Antiquités de l’Egypte 13 (1914), pp. 227–252, ""Preliminary Report on the Work of the Harvard–Boston Expedition in 1911–13""","Reisner, George A. and Clarence S. Fisher. ""Preliminary Report on the Work of the Harvard-Boston Expedition in 1911-13."" <I>Annales du Service des Antiquités de l'Egypte</I> 13 (1914), pp. 227-252.",1,1914,Y:\\images\MFA-images\Giza\GizaImage\full\library\,reisner-fisher_asae_13_1913.pdf
7,95,"Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings III. Memphis (Giza pages only)","Porter, Bertha, and Rosalind L.B. Moss. <I>Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings </I>3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: <I>M</I>emphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974.",1,1974,Y:\\images\MFA-images\Giza\GizaImage\full\library\,porter-moss_III_giza.pdf
7,127,"Records of the Past 4, Part 5 (May 1905), pp. 130–141., ""The Work of the Hearst Egyptian Expedition of the University of California in 1903–04""","Reisner, George A. ""The Work of the Hearst Egyptian Expedition of the University of California in 1903-04."" <I>Records of the Past </I>4, Part 5 (May 1905), pp. 130141.",1,May 1905,Y:\\images\MFA-images\Giza\GizaImage\full\library\,reisner_records_past_4_1905.pdf
7,129,"Annales du Service des Antiquités de l’Egypte 13 (1914), pp. 227–252, ""Preliminary Report on the Work of the Harvard–Boston Expedition in 1911–13""","Reisner, George A. and Clarence S. Fisher. ""Preliminary Report on the Work of the Harvard-Boston Expedition in 1911-13."" <I>Annales du Service des Antiquités de l'Egypte</I> 13 (1914), pp. 227-252.",1,1914,Y:\\images\MFA-images\Giza\GizaImage\full\library\,reisner-fisher_asae_13_1913.pdf
8,92,"Stationen: Beiträge zur Kulturgeschichte Ägyptens, pp. 115–34, The Problem of the Giza Slab Stelae","Manuelian, Peter Der. ""The Problem of the Giza Slab Stelae."" In Heike Guksch and Daniel Polz, eds. <I>Stationen. Beiträge zur Kulturgeschichte Ägyptens Rainer Stadelmann gewidmet</I>, Mainz: Philipp von Zabern, 1998, pp. 115-134.",1,1998,Y:\\images\MFA-images\Giza\GizaImage\full\library\,manuelian_fs_stadelmann.pdf
8,94,Slab Stelae of the Giza Necropolis,"Manuelian, Peter Der. <I>Slab Stelae of the Giza Necropolis. </I>Publications of the Pennsylvania-Yale Expedition to Egypt 7. New Haven &amp; Philadelphia: Peabody Museum of Natural History of Yale University &amp; University of Pennsylvania Museum of Archaeology and Anthropology, 2003.",1,2003,Y:\\images\MFA-images\Giza\GizaImage\full\library\,manuelian_slab_stelae2003.pdf
8,95,"Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings III. Memphis (Giza pages only)","Porter, Bertha, and Rosalind L.B. Moss. <I>Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings </I>3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: <I>M</I>emphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974.",1,1974,Y:\\images\MFA-images\Giza\GizaImage\full\library\,porter-moss_III_giza.pdf
8,127,"Records of the Past 4, Part 5 (May 1905), pp. 130–141., ""The Work of the Hearst Egyptian Expedition of the University of California in 1903–04""","Reisner, George A. ""The Work of the Hearst Egyptian Expedition of the University of California in 1903-04."" <I>Records of the Past </I>4, Part 5 (May 1905), pp. 130141.",1,May 1905,Y:\\images\MFA-images\Giza\GizaImage\full\library\,reisner_records_past_4_1905.pdf
8,129,"Annales du Service des Antiquités de l’Egypte 13 (1914), pp. 227–252, ""Preliminary Report on the Work of the Harvard–Boston Expedition in 1911–13""","Reisner, George A. and Clarence S. Fisher. ""Preliminary Report on the Work of the Harvard-Boston Expedition in 1911-13."" <I>Annales du Service des Antiquités de l'Egypte</I> 13 (1914), pp. 227-252.",1,1914,Y:\\images\MFA-images\Giza\GizaImage\full\library\,reisner-fisher_asae_13_1913.pdf
