ID,UnpublishedID,ObjectNumber,UnpublishedTitle,ClassificationID,ObjectDate,ThumbPathName,ThumbFileName,ArchIDNum
5701,40468,HUMFA_24-11-5,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",38,11/01/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
5701,40724,HUMFA_24-11-5,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",38,11/01/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
5706,40473,HUMFA_24-11-9a,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531 (alternate version)",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688640?width=170&height=170,465954371
5706,40729,HUMFA_24-11-9a,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 531",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687629?width=170&height=170,465953858
5707,40111,HUMFA_24-11-9b,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 520",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687564?width=170&height=170,465953825
5707,40413,HUMFA_24-11-9b,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 520 (alternate version)",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688574?width=170&height=170,465954338
5708,41955,HUMFA_24-11-9c,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 508 (alternate version)",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688504?width=170&height=170,465954302
5708,42018,HUMFA_24-11-9c,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 508",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687493?width=170&height=170,465953789
5709,40468,HUMFA_24-11-9d,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
5709,40724,HUMFA_24-11-9d,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
5710,40468,HUMFA_24-11-9e,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526 (alternate version)",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688610?width=170&height=170,465954356
5710,40724,HUMFA_24-11-9e,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 526",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687599?width=170&height=170,465953843
5711,40470,HUMFA_24-11-9f,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
5711,40726,HUMFA_24-11-9f,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",129,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
5712,40466,HUMFA_24-11-9g,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524 (alternate version)",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688598?width=170&height=170,465954350
5712,40722,HUMFA_24-11-9g,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524",38,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687588?width=170&height=170,465953837
5716,41956,HUMFA_24-11-9k,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 509 (alternate version)",110,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39688510?width=170&height=170,465954305
5716,42019,HUMFA_24-11-9k,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 509",110,11/02/1924,https://nrs.harvard.edu,urn-3:FHCL:39687499?width=170&height=170,465953792
5776,40514,HUMFA_24-12-85,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 11: The Funerary Equipment Found in Burial Chambers, Page 432 (alternate version)",34,12/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39686161?width=170&height=170,465952880
5776,40977,HUMFA_24-12-85,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 11: The Funerary Equipment Found in Burial Chambers, Page 432",34,12/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687060?width=170&height=170,465953540
5786,41196,HUMFA_24-12-14,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Appendix B: East Cemetery (Cem. 7000), Page ApxB 005b (alternate version)",58,12/01/1924,https://nrs.harvard.edu,urn-3:FHCL:39690783?width=170&height=170,465957461
5803,40072,HUMFA_24-11-62,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 516 (alternate version)",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39688551?width=170&height=170,465954326
5803,40107,HUMFA_24-11-62,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 516",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687539?width=170&height=170,465953813
5805,40071,EMC_JE_51905,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515 (alternate version)",89,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39688545?width=170&height=170,465954323
5805,40106,EMC_JE_51905,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 515",89,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687534?width=170&height=170,465953810
5806,40072,HUMFA_24-11-65,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 516 (alternate version)",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39688551?width=170&height=170,465954326
5806,40107,HUMFA_24-11-65,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 516",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687539?width=170&height=170,465953813
5807,40470,HUMFA_24-11-66,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528 (alternate version)",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39688622?width=170&height=170,465954362
5807,40726,HUMFA_24-11-66,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 528",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687611?width=170&height=170,465953849
5808,40466,HUMFA_24-11-67,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524 (alternate version)",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39688598?width=170&height=170,465954350
5808,40722,HUMFA_24-11-67,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Chapter 12: The Funerary Equipment Found in Burial Chambers: Miscellaneous Objects, Page 524",129,11/03/1924,https://nrs.harvard.edu,urn-3:FHCL:39687588?width=170&height=170,465953837
5826,41061,HUMFA_24-11-692,"A History of the Giza Necropolis II, Unpublished 1942 Manuscript, Appendix B: East Cemetery (Cem. 7000), Page ApxB 037",58,11/20/1924,https://nrs.harvard.edu,urn-3:FHCL:39688526?width=170&height=170,465956492
