ID,Title,Notes,BoilerText,DisplayDate,YearPublished,Format,Language,NumOfPages,Journal,Series
4,"Bulletin of the Museum of Fine Arts, Boston 5, No. 24 (February 1907), p. 7, ""Notes""",Notes,"Unsigned. ""Notes."" <I>Bulletin of the Museum of Fine Arts, Boston </I>5, No. 24 (February 1907), p. 7",February 1907,1907,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
6,"Bulletin of the Museum of Fine Arts, Boston 11, No. 62 (April 1913), pp. 19-22, ""The Harvard University -- Museum of Fine Arts Egyptian Expedition: Work of 1912 at Gizeh and Mesheikh""",The Harvard University -- Museum of Fine Arts Egyptian Expedition: Work of 1912 at Gizeh and Mesheikh,"Fisher, Clarence S. ""The Harvard University -- Museum of Fine Arts Egyptian Expedition: Work of 1912 at Gizeh and Mesheikh."" <EM>Bulletin of the Museum of Fine Arts, Boston</EM> 11, No. 62 (April 1913), pp. 19-22.<BR>",April 1913,1913,Bulletin,ENGLISH,4,"Bulletin of the Museum of Fine Arts, Boston",
7,"Bulletin of the Museum of Fine Arts, Boston 11, No. 66 (November 1913), pp. 53-66, ""A Family of Builders of the Sixth Dynasty, about 2600 B.C.""","A Family of Builders of the Sixth Dynasty, about 2600 B.C.","Reisner, George A. ""A Family of Builders of the Sixth Dynasty, about 2600 B.C."" <I>Bulletin of the Museum of Fine Arts, Boston </I>11, No. 66 (November 1913), pp. 53-66.<BR>",November 1913,1913,Bulletin,ENGLISH,14,"Bulletin of the Museum of Fine Arts, Boston",
8,"Bulletin of the Museum of Fine Arts, Boston 12, No. 70 (June 1914), p. 34, ""Dr. George A. Reisner""",Dr. George A. Reisner,"Unsigned. ""Dr. George A. Reisner."" <I>Bulletin of the Museum of Fine Arts, Boston </I>12, No. 70 (June 1914), p. 34.",June 1914,1914,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
12,"Bulletin of the Museum of Fine Arts, Boston 23, No. 136 (April 1925), pp. 12-14, ""Recent Discoveries at the Giza Pyramids""",Recent Discoveries at the Giza Pyramids,"Unsigned. ""Recent Discoveries at the Giza Pyramids."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 23, No. 136 (April 1925), pp. 12-14.",April 1925,1925,Bulletin,ENGLISH,3,"Bulletin of the Museum of Fine Arts, Boston",
18,"Bulletin of the Museum of Fine Arts, Boston 25, No. 150 (August 1927), p. 60, ""Notes""",Notes,"Unsigned. ""Notes."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 25, No. 150 (August 1927), p. 60.",August 1927,1927,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
26,"Bulletin of the Museum of Fine Arts, Boston 29, No. 176 (December 1931), pp. 119-120, ""Mycerinus: The Temples of the Third Pyramid at Giza""",Mycerinus: The Temples of the Third Pyramid at Giza,"Unsigned. ""Mycerinus: The Temples of the Third Pyramid at Giza"" (publication notice). <I>Bulletin of the Museum of Fine Arts, Boston</I> 29, No. 176 (December 1931), pp. 119-120. <BR>",December 1931,1931,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
29,"Bulletin of the Museum of Fine Arts, Boston 32, No. 190 (April 1934), p. 36, ""Arrival of Egyptian Antiquities""",Arrival of Egyptian Antiquities,"Unsigned. ""Arrival of Egyptian Antiquities."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 32, No. 190 (April 1934), p. 36.",April 1934,1934,Bulletin,ENGLISH,1,"Bulletin of the Museum of Fine Arts, Boston",
35,"Studies in Honor of William Kelly Simpson 1, pp. 55-81, ""Preservation and Presentation of Self in Ancient Egyptian Portraiture""",Preservation and Presentation of Self in Ancient Egyptian Portraiture,"Assmann, Jan. ""Preservation and Presentation of Self in Ancient Egyptian Portraiture."" In Peter Der Manuelian, ed. <I>Studies in Honor of William Kelly Simpson</I> 1. Boston: Museum of Fine Arts, Boston, 1996, pp. 55-81.",1996,1996,Article,ENGLISH,27,NULL,NULL
37,"Bulletin of the Museum of Fine Arts, Boston 9, No. 50 (April 1911), pp. 13-20, ""The Harvard-University—Museum of Fine Arts Egyptian Expedition""",The Harvard-University—Museum of Fine Arts Egyptian Expedition,"Reisner, George A. ""The Harvard-University-Museum of Fine Arts Egyptian Expedition."" <I>Bulletin of the Museum of Fine Arts, Boston</I> 9, No. 50 (April 1911), pp. 13-20.<BR>",April 1911,1911,Bulletin,ENGLISH,8,"Bulletin of the Museum of Fine Arts, Boston",
