ReferenceID,ConstituentID,ConstituentTypeID,Role,DisplayName,DisplayDate,Remarks,AlphaSort,ThumbPathName,ThumbFileName,ArchIDNum
4,934,1,Individual - Modern,Albert Morton Lythgoe,"American, 1868–1934",Egyptologist.  Nationality and life dates from Who was Who in Egyptology.,"Lythgoe, Albert Morton",NULL,NULL,NULL
4,1104,1,Individual - Modern,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
4,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
6,153,3,Individual - Ancient,Kanefer (in G 2184),NULL,"Father ([jt=f] his father) of Akhmerutnisut (owner of G 2184). North and south false doors on east face of mastaba: north false door inscribed for Kanefer and his wife Nuut, south false door (consists of only crossbar = lower lintel and drum lintel) inscribed for Kanefer, identified on both as [rx nswt] royal acquaintance; in situ in G 2184 (previously covered by two later phases of construction, first by painted mud plaster wall, and later by limestone wall of relief = west wall of outer room of chapel). North false door in west wall of outer room of chapel inscribed for Kanefer and Nuut and appears with Nuut on west door jamb of entrance to inner room in south wall of outer room; west and south walls of outer room of chapel (MFA 13.4352) found in situ in G 2184.",Kanefer,https://nrs.harvard.edu,urn-3:FHCL:40709924?width=170&height=170,471820363
6,463,1,Author,Clarence Stanley Fisher,"American, 1876–1941",Archaeologist and architect.  Nationality and life dates from Who was Who in Egyptology.,"Fisher, Clarence Stanley",https://nrs.harvard.edu,urn-3:FHCL:37792537?width=170&height=170,459780154
6,598,3,Individual - Ancient,Penmeru (G 2197),NULL,"Owner of G 2197. Testamentary decree of Penmeru (south wall of niche), identified as [wab nswt Hm-nTr mnkAwra jmj-r Hmw-kA] royal wab-priest, priest of Menkaure, overseer of ka-priests; in situ in G 2197. Limestone triad (MFA 12.1504) representing Penmeru in three Ka forms, identified as [rx nswt xrp sH] royal acquaintance, director of the dining hall; limestone pseudo-group statue (MFA 12.1484) depicting two figures of Penmeru, his wife Meretites, his son Seshemnefer, and his daughter Neferseshemes; Penmeru identified as [sHD Hmw-kA rx nswt xrp sH] inspector of ka-priests, royal acquaintance, director of the dining hall; limestone standing pair statue (Cairo JE 43753) depicting two figures of Penmeru; statues found in situ in G 2197 serdab.  ",Penmeru,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\PDM\,PDM_IMG03126.jpg,NULL
6,1003,3,Individual - Ancient,Akhmerutnisut (G 2184),NULL,"Owner of G 2184. Limestone seated statue (MFA 12.1482) inscribed for Akhmerutnisut, identified as [rx nswt smr jmj-r st n xntjw-S n pr-aA] royal acquaintance, companion, overseer of the department of palace attendants of the Great House; found in situ in G 2184 inner room of chapel. North and south false doors and architrave in west wall of interior chapel inscribed for Akhmerutnisut; in situ in G 2184 (interior chapel previously blocked by later phases of construction). False door in niche (blocking entrance to interior chapel) in west wall of inner room of chapel inscribed for Akhmerutnisut; found in situ in G 2184. Also appears on painted block (MFA 13.6040) from this false door; found displaced. South false door in west wall of outer room of chapel inscribed for Akhmerutnisut; west and south walls (MFA 13.4352) found in situ in G 2184. Architectural elements (drum lintel and jambs of entrance to inner room of chapel) inscribed for Akhmerutnisut, identified as [jmj-r st xntjw-S n pr-aA jmj-r Xrjw-a nswt n pr-aA wab nswt] overseer of the department of palace attendants of the Great House, overseer of the royal authorizations of the Great House, royal wab-priest; also appears in chapel relief (east door jamb of entrance to inner room of chapel, west wall of outer room of chapel, identifying inscriptions not preserved in all cases); west and south walls of outer room of chapel (MFA 13.4352) found in situ in G 2184. Fragments of displaced door frame (MFA 47.1886 + MFA 47.1887 + MFA 47.1888 + MFA 47.1889 + MFA 47.1890 + MFA 47.1891 + MFA 47.1892 + MFA 47.1893 + MFA 47.1894) inscribed for Akhmerutnisut, identified as [jmj-r st xntjw-S n pr-aA jmj-r Xrjw-a nswt n pr-aA] overseer of the department of palace attendants of the Great House, overseer of the royal authorizations of the Great House. Fragment of displaced lintel (MFA 47.1895) inscribed for Akhmerutnisut, identified as [jmj-r st xntjw-S n pr-aA jmj-r Xrjw-a nswt n pr-aA nb jmAx xr nb=f wab nswt rx nswt] overseer of the department of palace attendants of the Great House, overseer of royal authorizations of the Great House, possessor of reverence before his lord, royal wab-priest, royal acquaintance.   Limestone offering basin (36-10-4) made from lintel inscribed for Akhmerutnisut, identified as [jmj-r st xntjw-S n pr-aA] overseer of the department of palace attendants of the Great House; found reused in G 2421 X. Roth (Mummies & Magic, p. 87) suggests: ""If this lintel was not taken from the tomb of the elder [Akhmerutnisut] (there is no obvious place in that tomb to restore it), it may have been taken from a lost chapel built by his son.""",Akhmerutnisut,https://nrs.harvard.edu,urn-3:FHCL:37863405?width=170&height=170,460120738
6,1547,1,Individual - Modern,Mr. Henry Clay Frick,NULL,NULL,"Frick, Henry Clay, Mr.",NULL,NULL,NULL
6,1869,3,Individual - Ancient,Seshemnefer [II] (G 5080),NULL,"Owner of G 5080. Pillars and jambs of court entrance and north and south false doors inscribed for Seshemnefer, identified as [jmj-r sSw a nswt Hrj-sStA n wDt-mdw nb nt nswt jmj-r kAt nb nswt sS Xrt-a nswt sS a nswt n sbAjt nswt Hrj-sStA n Xrt-a nswt jmj-r (pr) aHAw m prwj] overseer of royal document scribes, secretary of every royal decree, overseer of all royal works, scribe of the royal document-case, royal document scribe of the royal instructors, secretary of the royal document-case, overseer of (the house of) weapons in the two houses; also appears in chapel relief (west, south, and east walls); in situ in G 5080. Red granite sarcophagus (33-4-19 = Cairo JE 60541) inscribed for Seshemnefer; found in situ in G 5080 B.",Seshemnefer [II],https://nrs.harvard.edu,urn-3:FHCL:37792147?width=170&height=170,459779599
6,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
