ReferenceID,SiteID,SiteName,SiteNumber,ThumbPathName,ThumbFileName,ArchIDNum
6,530,Western Cemetery,G 5080,https://nrs.harvard.edu,urn-3:FHCL:37704599?width=170&height=170,459586344
6,730,Western Cemetery,G 2175,https://nrs.harvard.edu,urn-3:FHCL:37900112?width=170&height=170,460179541
6,740,Western Cemetery,G 2184,https://nrs.harvard.edu,urn-3:FHCL:37704587?width=170&height=170,459586326
6,750,Western Cemetery,G 2197,https://nrs.harvard.edu,urn-3:FHCL:37818602?width=170&height=170,459917054
7,821,Western Cemetery,G 2370,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1999.201.09.jpg,NULL
7,825,Western Cemetery,G 2374,https://nrs.harvard.edu,urn-3:FHCL:37740193?width=170&height=170,459673581
7,831,Western Cemetery,G 2381,https://nrs.harvard.edu,urn-3:FHCL:37704859?width=170&height=170,459586734
7,832,Western Cemetery,G 2382,https://nrs.harvard.edu,urn-3:FHCL:37704943?width=170&height=170,459586860
7,833,Western Cemetery,G 2378,https://nrs.harvard.edu,urn-3:FHCL:37704939?width=170&height=170,459586854
7,834,Western Cemetery,G 2383,https://nrs.harvard.edu,urn-3:FHCL:37704867?width=170&height=170,459586746
7,836,Western Cemetery,G 2385,https://nrs.harvard.edu,urn-3:FHCL:37704901?width=170&height=170,459586797
12,167,Eastern Cemetery,Eastern Cemetery,https://nrs.harvard.edu,urn-3:FHCL:40810277?width=170&height=170,472335970
12,1516,Eastern Cemetery,G 7101,https://nrs.harvard.edu,urn-3:FHCL:37740189?width=170&height=170,459673575
12,1517,Eastern Cemetery,G 7102,https://nrs.harvard.edu,urn-3:FHCL:37792515?width=170&height=170,459780121
26,2028,Menkaure Pyramid Complex,Menkaure Pyramid Temple,https://nrs.harvard.edu,urn-3:FHCL:40682660?width=170&height=170,471648068
26,2035,Menkaure Pyramid Complex,Menkaure Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:38461138?width=170&height=170,462117282
26,2796,Menkaure Pyramid Complex,Menkaure Pyramid,https://nrs.harvard.edu,urn-3:FHCL:37703395?width=170&height=170,459584538
37,1778,Khafre Pyramid Complex,Khafre Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:41111697?width=170&height=170,474949251
37,1840,Central Field (Hassan),G 8400,https://nrs.harvard.edu,urn-3:FHCL:37703997?width=170&height=170,459585441
37,2028,Menkaure Pyramid Complex,Menkaure Pyramid Temple,https://nrs.harvard.edu,urn-3:FHCL:40682660?width=170&height=170,471648068
37,2035,Menkaure Pyramid Complex,Menkaure Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:38461138?width=170&height=170,462117282
37,2095,Western Cemetery,Western Cemetery,https://nrs.harvard.edu,urn-3:FHCL:37705223?width=170&height=170,459587280
47,493,Western Cemetery,G 2004,https://nrs.harvard.edu,urn-3:FHCL:37818940?width=170&height=170,459917561
47,499,Western Cemetery,G 2009,https://nrs.harvard.edu,urn-3:FHCL:37818978?width=170&height=170,459917618
48,740,Western Cemetery,G 2184,https://nrs.harvard.edu,urn-3:FHCL:37704587?width=170&height=170,459586326
49,2035,Menkaure Pyramid Complex,Menkaure Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:38461138?width=170&height=170,462117282
50,671,Western Cemetery,G 2100-I,https://nrs.harvard.edu,urn-3:FHCL:40666518?width=170&height=170,471613534
50,686,Western Cemetery,G 2120,https://nrs.harvard.edu,urn-3:FHCL:40710645?width=170&height=170,471820897
50,1010,Western Cemetery,G 4260,https://nrs.harvard.edu,urn-3:FHCL:41105925?width=170&height=170,474938633
50,1080,Western Cemetery,G 4561,https://nrs.harvard.edu,urn-3:FHCL:41107091?width=170&height=170,474940319
50,1105,Western Cemetery,G 4651,https://nrs.harvard.edu,urn-3:FHCL:41106209?width=170&height=170,474939029
50,1161,Western Cemetery,G 4940,https://nrs.harvard.edu,urn-3:FHCL:38552304?width=170&height=170,462429834
50,1165,Western Cemetery,G 4970,https://nrs.harvard.edu,urn-3:FHCL:40710763?width=170&height=170,471820984
50,1314,Western Cemetery,Nihetepkhnum,https://nrs.harvard.edu,urn-3:FHCL:41463217?width=170&height=170,479258839
50,1369,Western Cemetery,G 6020,https://nrs.harvard.edu,urn-3:FHCL:37740585?width=170&height=170,459674139
50,1521,Eastern Cemetery,G 7130-7140,https://nrs.harvard.edu,urn-3:FHCL:37777165?width=170&height=170,459753489
50,1565,Eastern Cemetery,G 7430-7440,https://nrs.harvard.edu,urn-3:FHCL:37740391?width=170&height=170,459673878
50,1950,Western Cemetery,Senenu (2),https://nrs.harvard.edu,urn-3:FHCL:41429319?width=170&height=170,478889732
50,1999,South Giza Cemetery (Z. Hawass),Covington's Tomb,https://nrs.harvard.edu,urn-3:FHCL:41762685?width=170&height=170,481657356
50,2102,Western Cemetery,G 2135,https://nrs.harvard.edu,urn-3:FHCL:40710649?width=170&height=170,471820900
50,3885,Western Cemetery,S 2353,https://nrs.harvard.edu,urn-3:FHCL:41121885?width=170&height=170,474982231
51,1773,Khafre Pyramid Complex,Khafre Causeway,https://nrs.harvard.edu,urn-3:FHCL:38556700?width=170&height=170,462437055
51,1775,Khafre Pyramid Complex,Khafre Pyramid,https://nrs.harvard.edu,urn-3:FHCL:40683035?width=170&height=170,471648335
51,1778,Khafre Pyramid Complex,Khafre Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:41111697?width=170&height=170,474949251
51,1779,Khufu Pyramid Complex,Khufu Boat Pits,https://nrs.harvard.edu,urn-3:FHCL:40682875?width=170&height=170,471648221
51,1780,Khufu Pyramid Complex,Khufu Causeway,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.128.15.jpg,NULL
51,1782,Khufu Pyramid Complex,Khufu Pyramid,https://nrs.harvard.edu,urn-3:FHCL:37704283?width=170&height=170,459585870
51,1790,Khufu Pyramid Complex,Khufu Valley Temple,Y:\images\videos\Thumbnails,GPH_3DP_Khufu Valley Temple_tour_thumb.jpg,NULL
51,1926,Central Field (Hassan),G 8978,https://nrs.harvard.edu,urn-3:FHCL:39146540?width=170&height=170,464181091
51,2028,Menkaure Pyramid Complex,Menkaure Pyramid Temple,https://nrs.harvard.edu,urn-3:FHCL:40682660?width=170&height=170,471648068
51,2035,Menkaure Pyramid Complex,Menkaure Valley Temple,https://nrs.harvard.edu,urn-3:FHCL:38461138?width=170&height=170,462117282
51,2294,Khafre Pyramid Complex,Khafre Pyramid Temple,https://nrs.harvard.edu,urn-3:FHCL:37705167?width=170&height=170,459587196
51,2295,Menkaure Pyramid Complex,G III-a,https://nrs.harvard.edu,urn-3:FHCL:37704157?width=170&height=170,459585681
51,2737,Menkaure Pyramid Complex,G III-c,https://nrs.harvard.edu,urn-3:FHCL:37704155?width=170&height=170,459585678
51,2750,Khufu Pyramid Complex,Khufu Pyramid Temple,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.128.13.jpg,NULL
51,2796,Menkaure Pyramid Complex,Menkaure Pyramid,https://nrs.harvard.edu,urn-3:FHCL:37703395?width=170&height=170,459584538
51,2877,Menkaure Pyramid Complex,G III-b,https://nrs.harvard.edu,urn-3:FHCL:37704159?width=170&height=170,459585684
52,541,Western Cemetery,G 5210,https://nrs.harvard.edu,urn-3:FHCL:38552308?width=170&height=170,462429837
52,832,Western Cemetery,G 2382,https://nrs.harvard.edu,urn-3:FHCL:37704943?width=170&height=170,459586860
52,1080,Western Cemetery,G 4561,https://nrs.harvard.edu,urn-3:FHCL:41107091?width=170&height=170,474940319
52,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
52,1269,Eastern Cemetery,G 7650,https://nrs.harvard.edu,urn-3:FHCL:37776855?width=170&height=170,459753024
52,1271,Eastern Cemetery,G 7660,https://nrs.harvard.edu,urn-3:FHCL:37777097?width=170&height=170,459753387
52,1521,Eastern Cemetery,G 7130-7140,https://nrs.harvard.edu,urn-3:FHCL:37777165?width=170&height=170,459753489
52,1574,Eastern Cemetery,G 7520,https://nrs.harvard.edu,urn-3:FHCL:37776344?width=170&height=170,459752631
52,1825,Central Field (Hassan),G 8172,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_05723.jpg,NULL
52,1832,Central Field (Hassan),G 8090,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1999.002.21.jpg,NULL
52,1868,Central Field (Hassan),G 8464,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
52,1937,Central Field (Hassan),G 8530,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
52,1979,Western Cemetery,Seneb,https://nrs.harvard.edu,urn-3:FHCL:41111338?width=170&height=170,474949017
52,2036,Menkaure Quarry Cemetery,MQ 1,https://nrs.harvard.edu,urn-3:FHCL:37900584?width=170&height=170,460180249
52,2739,Giza,Giza Plateau,https://nrs.harvard.edu,urn-3:FHCL:37775901?width=170&height=170,459752319
53,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
55,554,Western Cemetery,G 5230,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.128.27.jpg,NULL
55,1088,Western Cemetery,G 4620,https://nrs.harvard.edu,urn-3:FHCL:37705241?width=170&height=170,459587307
56,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
56,1528,Eastern Cemetery,G 7143,https://nrs.harvard.edu,urn-3:FHCL:37946499?width=170&height=170,460313546
58,2796,Menkaure Pyramid Complex,Menkaure Pyramid,https://nrs.harvard.edu,urn-3:FHCL:37703395?width=170&height=170,459584538
64,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
66,1570,Eastern Cemetery,G 7510,https://nrs.harvard.edu,urn-3:FHCL:37740327?width=170&height=170,459673782
67,1509,Eastern Cemetery,G 7000 X,https://nrs.harvard.edu,urn-3:FHCL:37740633?width=170&height=170,459674211
69,831,Western Cemetery,G 2381,https://nrs.harvard.edu,urn-3:FHCL:37704859?width=170&height=170,459586734
69,832,Western Cemetery,G 2382,https://nrs.harvard.edu,urn-3:FHCL:37704943?width=170&height=170,459586860
70,1509,Eastern Cemetery,G 7000 X,https://nrs.harvard.edu,urn-3:FHCL:37740633?width=170&height=170,459674211
70,3412,Other Region,Harvard Camp,https://nrs.harvard.edu,urn-3:FHCL:37777493?width=170&height=170,459753981
71,750,Western Cemetery,G 2197,https://nrs.harvard.edu,urn-3:FHCL:37818602?width=170&height=170,459917054
71,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
71,1509,Eastern Cemetery,G 7000 X,https://nrs.harvard.edu,urn-3:FHCL:37740633?width=170&height=170,459674211
72,2075,Eastern Cemetery,Service tomb 2,https://nrs.harvard.edu,urn-3:FHCL:37819124?width=170&height=170,459917837
72,2078,Eastern Cemetery,Service tomb 6,https://nrs.harvard.edu,urn-3:FHCL:37793664?width=170&height=170,459781747
72,2079,Eastern Cemetery,Service tomb 7,https://nrs.harvard.edu,urn-3:FHCL:37819124?width=170&height=170,459917837
72,2267,Eastern Cemetery,Service tomb 8,https://nrs.harvard.edu,urn-3:FHCL:37819124?width=170&height=170,459917837
72,2268,Eastern Cemetery,Service tomb 9,https://nrs.harvard.edu,urn-3:FHCL:37819124?width=170&height=170,459917837
72,2269,Eastern Cemetery,Service tomb 10,https://nrs.harvard.edu,urn-3:FHCL:37962424?width=170&height=170,460356948
72,2270,Eastern Cemetery,Service tomb 11,https://nrs.harvard.edu,urn-3:FHCL:37818504?width=170&height=170,459916907
75,1703,Khufu Pyramid Complex,G I-x,https://nrs.harvard.edu,urn-3:FHCL:40810277?width=170&height=170,472335970
75,2297,Khufu Pyramid Complex,G I-a,https://nrs.harvard.edu,urn-3:FHCL:38555956?width=170&height=170,462435939
75,2298,Khufu Pyramid Complex,G I-b,https://nrs.harvard.edu,urn-3:FHCL:37740159?width=170&height=170,459673530
75,2299,Khufu Pyramid Complex,G I-c,https://nrs.harvard.edu,urn-3:FHCL:37741887?width=170&height=170,459676056
75,2304,Khufu Pyramid Complex,G I-d,https://nrs.harvard.edu,urn-3:FHCL:40810277?width=170&height=170,472335970
75,2750,Khufu Pyramid Complex,Khufu Pyramid Temple,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.128.13.jpg,NULL
77,749,Western Cemetery,G 2196,https://nrs.harvard.edu,urn-3:FHCL:37704703?width=170&height=170,459586500
77,1175,Eastern Cemetery,G 7530-7540,https://nrs.harvard.edu,urn-3:FHCL:40683663?width=170&height=170,471648662
77,1282,Eastern Cemetery,G 7721,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1993.069.12.jpg,NULL
77,1323,Western Cemetery,Niudjaptah,NULL,NULL,NULL
77,1516,Eastern Cemetery,G 7101,https://nrs.harvard.edu,urn-3:FHCL:37740189?width=170&height=170,459673575
77,1517,Eastern Cemetery,G 7102,https://nrs.harvard.edu,urn-3:FHCL:37792515?width=170&height=170,459780121
77,1699,Eastern Cemetery,G 7948,https://nrs.harvard.edu,urn-3:FHCL:37818652?width=170&height=170,459917129
77,1803,Eastern Cemetery,Lepsius 63,https://nrs.harvard.edu,urn-3:FHCL:37818536?width=170&height=170,459916955
77,1809,Eastern Cemetery,Lepsius 68,https://nrs.harvard.edu,urn-3:FHCL:37819104?width=170&height=170,459917807
77,1819,Eastern Cemetery,Lepsius 78,https://nrs.harvard.edu,urn-3:FHCL:37818830?width=170&height=170,459917396
77,1832,Central Field (Hassan),G 8090,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1999.002.21.jpg,NULL
77,1926,Central Field (Hassan),G 8978,https://nrs.harvard.edu,urn-3:FHCL:39146540?width=170&height=170,464181091
77,1942,Central Field (Hassan),G 8662,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
77,1967,Central Field (Hassan),G 8712,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
77,2023,Central Field (Hassan),G 8954,https://nrs.harvard.edu,urn-3:FHCL:41121893?width=170&height=170,474982243
77,2036,Menkaure Quarry Cemetery,MQ 1,https://nrs.harvard.edu,urn-3:FHCL:37900584?width=170&height=170,460180249
77,2222,Eastern Cemetery,G 7837+7843,https://nrs.harvard.edu,urn-3:FHCL:37819004?width=170&height=170,459917657
78,28,Western Cemetery,D 105,https://nrs.harvard.edu,urn-3:FHCL:41105645?width=170&height=170,474938216
78,29,Western Cemetery,D 106,https://nrs.harvard.edu,urn-3:FHCL:41105645?width=170&height=170,474938216
78,30,Western Cemetery,D 107,https://nrs.harvard.edu,urn-3:FHCL:41105599?width=170&height=170,474938147
78,33,Western Cemetery,D 11,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,36,Western Cemetery,D 111,https://nrs.harvard.edu,urn-3:FHCL:41105985?width=170&height=170,474938705
78,43,Western Cemetery,D 118,https://nrs.harvard.edu,urn-3:FHCL:41105959?width=170&height=170,474938666
78,49,Western Cemetery,D 14,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,52,Western Cemetery,D 15 B,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,53,Western Cemetery,D 16,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,58,Western Cemetery,D 19,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,60,Western Cemetery,D 20,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_1999.022.20.jpg,NULL
78,61,Western Cemetery,D 200,https://nrs.harvard.edu,urn-3:FHCL:41106533?width=170&height=170,474939512
78,62,Western Cemetery,D 201,Y:\\images\MFA-images\Giza\GizaImage\thumbnails\recent\,PDM_00167.jpg,NULL
78,63,Western Cemetery,D 202,https://nrs.harvard.edu,urn-3:FHCL:37834123?width=170&height=170,459997782
78,67,Western Cemetery,D 206,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,69,Western Cemetery,D 208,https://nrs.harvard.edu,urn-3:FHCL:38555926?width=170&height=170,462435894
78,72,Western Cemetery,D 210,https://nrs.harvard.edu,urn-3:FHCL:37834123?width=170&height=170,459997782
78,73,Western Cemetery,D 211,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,76,Western Cemetery,D 214,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,79,Western Cemetery,D 23,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,80,Western Cemetery,D 24,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,81,Western Cemetery,D 25,https://nrs.harvard.edu,urn-3:FHCL:41121883?width=170&height=170,474982228
78,84,Western Cemetery,D 29,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,88,Western Cemetery,D 31,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,89,Western Cemetery,D 32+32 A,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
78,93,Western Cemetery,D 35,https://nrs.harvard.edu,urn-3:FHCL:40810266?width=170&height=170,472335961
