ID,SiteName,Number,SiteSortNumber,HistoricalNotes,BibReferences,LocationNotes,Remarks,Description,Condition,Shafts,ResearchActivity,ResearcherComments,IsPublic,Active,harvardID,SiteTypeID,SiteType,ProblemsQuestions
1,Eastern Cemetery,Avenue G 0,AvenueG         0               ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
2,Eastern Cemetery,Avenue G 1,AvenueG         1               ,NULL,NULL,NULL,"This is a short avenue that runs between G I-a and G I-b in Cemetery G 7000.,,",NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
3,Eastern Cemetery,Avenue G 2,AvenueG         2               ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
4,Eastern Cemetery,Avenue G 3,AvenueG         3               ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
5,Eastern Cemetery,Avenue G 4,AvenueG         4               ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
6,Western Cemetery,Cemetery G 1000,Cemetery    G     1000          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 52-55.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
7,Western Cemetery,Cemetery G 1100,Cemetery    G     1100          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 55-56.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
8,Western Cemetery,Cemetery G 1200,Cemetery    G     1200          ,NULL,"Baud, Michel. ""La tombe de la reine-mère xa-mrr-Nbtj Ire."" Bulletin de l'Institut Français d'Archéologie Orientale 95 (1995), p. 13. 

Jánosi, Peter. ""Der Tote vor dem Opfertisch. Die Opferplatten von Giza. Besprechung des Buches Slab Stelae of the Giza Necropolis von Peter Der Manuelian."" Sokar 10 (1. Halbjahr 2005), p. 19.

Jánosi, Peter. ""Bemerkungen zur Entstehung, Lage und Datierung der Nekropolenfelder von Giza unter Cheops."" Sokar 4 (1. Halbjahr 2002), pp. 5, 9, note 7, unnumbered figure. 

Jánosi, Peter. ""Aspects of Mastaba Development: The Position of Shafts and the Identification of Tomb Owners."" In Filip Coppens, ed. Abusir and Saqqara in the year 2001. Proceedings of the Symposium (Prague, September 25th-27th, 2001). Archiv Orientální 70, No. 3 (August 2002). Prague: Oriental Institute, Academy of Sciences of the Czech Republic, pp. 337-350.

Jánosi, Peter. ""The Tombs of Officials. Houses of Eternity."" In Egyptian Art in the Age of the Pyramids. New York: The Metropolitan Museum of Art, 1999, pp. 28-29, 37, note 13, fig. 13. 

Manuelian, Peter Der. Slab Stelae of the Giza Necropolis. Publications of the Pennsylvania-Yale Expedition to Egypt 7. New Haven & Philadelphia: Peabody Museum of Natural History of Yale University & University of Pennsylvania Museum of Archaeology and Anthropology, 2003, pp. xxxiv, 36, 38, 44, 47, 52, 55, 61, 65, 85, 113- 115, 117, 129, 146, 147, 150, 162, figs. 3, 171.

Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 56-61.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
9,Western Cemetery,Cemetery G 1300,Cemetery    G     1300          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, pp. 61-62.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
10,Western Cemetery,Cemetery G 1400,Cemetery    G     1400          ,NULL,"Porter, Bertha, and Rosalind L.B. Moss. Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs, and Paintings 3: Memphis (Abû Rawâsh to Dahshûr). Oxford: The Clarendon Press, 1931. 2nd edition. 3: Memphis, Part 1 (Abû Rawâsh to Abûsîr), revised and augmented by Jaromír Málek. Oxford: The Clarendon Press, 1974, p. 64.
,,",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
