SiteID,AltNum,Description
17,Cemetery 2000 changed to 3000,Other No
41,Seshemu,Junker No
78,Tjezi,Junker No
97,D 39/40,Other No
97,D 39,Other No
97,D 40,Other No
146,D 80,Other No
146,D 80 A,Other No
146,D 80/80 A,Other No
146,Lepsius 22,Lepsius No
146,L. 22,Lepsius No
146,LG 22,Lepsius No
148,D 82/82 A,Other No
148,D82,Other No
148,D 82 A,Other No
163,D 96,Correct Double Mastaba No
163,D 97,Correct Double Mastaba No
163,S 4570,Junker No
173,Sedaug,Junker No
176,S 4544/4565,Junker No
183,G 1022x,Alternate Reisner No
188,G 1025a,Alternate Reisner No
188,G 1025b,Alternate Reisner No
190,G 1027x,Alternate Reisner No
192,G 1026-Annex,Alternate Reisner No
197,G 1033a,Alternate Reisner No
197,G 1033,Alternate Reisner No
200,G 1035bc,Alternate Reisner No
200,G 1035a,Alternate Reisner No
200,G 1035d,Alternate Reisner No
200,G 1035xy,Alternate Reisner No
200,G 1035z,Alternate Reisner No
210,G 1040+41,Alternate Reisner No
210,G 1040,Correct Double Mastaba No
210,G 1041,Correct Double Mastaba No
214,G 1045,Correct Double Mastaba No
214,G 1046,Correct Double Mastaba No
214,G 1045+46,Alternate Reisner No
261,D 90,Other No
264,G 1104,Correct Double Mastaba No
264,G 1105,Correct Double Mastaba No
271,G 1112,Correct Double Mastaba No
271,G 1113,Correct Double Mastaba No
295,G 1162,Correct Double Mastaba No
295,G 1172,Correct Double Mastaba No
296,G 1163,Correct Double Mastaba No
296,G 1166,Correct Double Mastaba No
304,G 1173,Alternate Reisner No
325,G 1206-Annex,Alternate Reisner No
334,G 1229,Alternate Reisner No
336,G 2080,Alternate Reisner No (Fisher Cemetery)
337,G 1227 Annex,Alternate Reisner No
341,G 1231,Alternate Reisner No
385,G 1408,Correct Double Mastaba No
385,G 1409,Correct Double Mastaba No
389,G 3040,Other No
390,G 1452,Correct Double Mastaba No
390,G 1453,Correct Double Mastaba No
391,G 1454,Correct Double Mastaba No
391,G 1455,Correct Double Mastaba No
400,G 1604a,Alternate Reisner No
400,G 1604b,Alternate Reisner No
410,G 1614a,Alternate Reisner No
410,G 1614b,Alternate Reisner No
412,G 1615a,Alternate Reisner No
412,G 1615b,Alternate Reisner No
443,G 1648,Correct Double Mastaba No
443,G 1665,Correct Double Mastaba No
486,G 1697a,Alternate Reisner No
489,Lepsius 23,Lepsius No
489,L.23,Lepsius No
489,LG 23,Lepsius No
497,G 2008a,Alternate Reisner No
503,G 2013a,Alternate Reisner No
511,G 5227a,Alternate Reisner No
522,Lepsius 46,Lepsius No
522,L.46,Lepsius No
522,LG 46,Lepsius No
524,G 5032a,Alternate Reisner No
530,G 2200,Alternate Reisner No
530,e,Alternate Reisner No
531,d,Alternate Reisner No
531,G 2190,Alternate Reisner No
532,LG 44,Lepsius No
532,Lepsius 44,Lepsius No
532,L.44,Lepsius No
536,L.36,Lepsius No
536,Lepsius 36,Lepsius No
536,LG 36,Lepsius No
539,G 2310,Alternate Reisner No
540,G 2300,Alternate Reisner No
541,LG 43,Lepsius No
541,L.43,Lepsius No
541,Lepsius 43,Lepsius No
543,Lepsius 42,Lepsius No
543,L.42,Lepsius No
543,LG 42,Lepsius No
544,LG 39,Lepsius No
544,S 796,Junker No
544,Lepsius 39,Lepsius No
544,L.39,Lepsius No
545,G 5341,Alternate Reisner No
546,G 5342,Alternate Reisner No
546,S 806,Junker No
547,LG 37,Lepsius No
547,Lepsius 37,Lepsius No
547,L.37,Lepsius No
548,S 846/847,Junker No
549,LG 31,Lepsius No
549,Lepsius 31,Lepsius No
549,L.31,Lepsius No
550,G 2330,Alternate Reisner No
554,LG 40,Lepsius No
554,Lepsius 40,Lepsius No
554,L.40,Lepsius No
562,G 5245,Alternate Reisner No
567,G 2320,Alternate Reisner No
568,G 2350,Alternate Reisner No
568,S: 290 (?),Junker No
570,L.41,Lepsius No
570,Lepsius 41,Lepsius No
570,LG 41,Lepsius No
573,G 2015a,Alternate Reisner No
573,G 2015b,Alternate Reisner No
577,G 2019,Alternate Reisner No
578,G 2028,Alternate Reisner No
586,G 2018 X,Alternate Reisner No
587,G 2025b,Alternate Reisner No
589,G 2026a,Alternate Reisner No
589,G 2026b,Alternate Reisner No
589,G 2026c,Alternate Reisner No
589,G 2026d,Alternate Reisner No
589,G 2026e,Alternate Reisner No
607,G 2036a,Alternate Reisner No
618,G 2042a,Alternate Reisner No
618,G 2042b,Alternate Reisner No
618,G 2042c,Alternate Reisner No
618,G 2042d,Alternate Reisner No
625,G 2045a,Alternate Reisner No
625,G 2045b,Alternate Reisner No
625,G 2045c,Alternate Reisner No
634,G 2061a,Alternate Reisner No
637,G 2072a,Alternate Reisner No
643,G 2077a,Alternate Reisner No
643,G 2077b,Alternate Reisner No
643,G 2503,Alternate Reisner no
648,G 2086a,Alternate Reisner No
648,G 2083,Alternate Reisner No
651,G 2088a,Alternate Reisner No
