SiteID,Role,ConstituentID,ConstituentTypeID,DisplayName,DisplayDate,Remarks
1,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
2,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
2,Attested,1984,3,Hetepwesir (in Avenue G 1),NULL,"Ushabti (fragment: 24-11-481) inscribed for Hetepwesir; found in Avenue G 1 debris. Name Hetepwesir may not be name, but rather part of hetep di nisut Wesir formula."
2,Attested,4634,3,Akhethetep (in Avenue G 1),NULL,"Inscribed fragment of basalt (24-11-694 = MFA 24.2568), possibly part of stela, sarcophagus, or statue base; found in avenue G 1, G I-a boat pit."
3,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
4,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
4,Attested,1992,3,Hu (in Avenue G 3),NULL,Child (born) of Iru. Ushabtis (25-12-474) inscribed for Hu; found in Avenue G 3 debris.
4,Attested,2001,3,Iru (in Avenue G 3),NULL,Mother of Hu. Name appears on ushabtis (25-12-474) inscribed for Hu; found in Avenue G 3 debris.
4,Attested,4535,3,Khenu (in Avenue G 3),NULL,"Fragment of serpentine seated scribe statue (25-12-562) inscribed for Khenu, identified as (preserved inscription on base somewhat uncertain but may read) […r-sTAw sHD(?) wabw xnw Htp jr.n…] …Rosetau, inspector(?) of wab priests Khenu, he made(?)…; found displaced in Avenue G 3 debris."
5,Attested,2104,3,Tadihor-[...]etef (in Avenue G 4),NULL,"Mother of Pasherimut. Name appears on set of ushabtis (fragments: 26-1-270, 26-1-364, 26-1-401, 26-1-466, 26-1-479, 26-1-562, 26-1-1182 (?), 26-1-1207, 26-1-1230, 26-2-33) inscribed for Pasherimut; found widely scattered in Street G 7000, Avenue G 4, Street G 7100. Sign following Tadihor is not clear; either nfr or smA sign."
5,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
6,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
7,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
8,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
9,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
10,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
11,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
12,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
13,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
14,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
15,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
15,Excavator,461,1,Hermann Junker,"German, 1877–1962","Egyptologist, Director of German-Austrian expedition to Giza, 1911–1929. Published 12 volumes of final excavation reports from Giza expedition.
Nationality and life dates from Who was Who in Egyptology."
16,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
17,Excavator,463,1,Clarence Stanley Fisher,"American, 1876–1941",Archaeologist and architect. 
Nationality and life dates from Who was Who in Egyptology.
18,Excavator,461,1,Hermann Junker,"German, 1877–1962","Egyptologist, Director of German-Austrian expedition to Giza, 1911–1929. Published 12 volumes of final excavation reports from Giza expedition.
Nationality and life dates from Who was Who in Egyptology."
18,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
19,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
19,Excavator,461,1,Hermann Junker,"German, 1877–1962","Egyptologist, Director of German-Austrian expedition to Giza, 1911–1929. Published 12 volumes of final excavation reports from Giza expedition.
Nationality and life dates from Who was Who in Egyptology."
20,Excavator,1104,1,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records. 
Nationality and life dates from Who was Who in Egyptology."
