SiteID,EventType,DateText
21,PorterMoss Date,Dynasty 5-6
23,PorterMoss Date,Dynasty V
29,PorterMoss Date,Late Dynasty 5
41,PorterMoss Date,Dynasty 5-6
42,PorterMoss Date,Early Dynasty 5
42,Harpur Date,Userkaf - Neferirkare
42,Kayser Date,Early Dynasty 5
43,PorterMoss Date,Early Dynasty 5
49,PorterMoss Date,Dynasty 5-6
50,Baer Date,Dynasty 5-6
50,PorterMoss Date,Dynasty 5-6
52,PorterMoss Date,Dynasty 5-6
58,PorterMoss Date,Dynasty 5-6
59,Steindorff Date,Dynasty 5-Dynasty 6
60,PorterMoss Date,Dynasty 5-6
61,PorterMoss Date,Dynasty 6
62,PorterMoss Date,Dynasty 5-6
63,PorterMoss Date,Dynasty 5-6
64,PorterMoss Date,Late Dynasty 5 or Dynasty 6
66,PorterMoss Date,Dynasty 5-6
68,PorterMoss Date,Dynasty 5-6
69,PorterMoss Date,Dynasty 5-6
73,PorterMoss Date,Dynasty 6
75,PorterMoss Date,Dynasty 5-6
78,PorterMoss Date,Dynasty 5-6
79,PorterMoss Date,Dynasty 5
84,PorterMoss Date,Dynasty 5-6
87,PorterMoss Date,Dynasty 5-6
89,PorterMoss Date,Dynasty 5
95,PorterMoss Date,Dynasty 5
96,PorterMoss Date,Dyn asty 4 or 5
97,PorterMoss Date,Dynasty 5
98,PorterMoss Date,Dynastyh 5-6
101,PorterMoss Date,Dynasty 5-6
105,PorterMoss Date,Dynasty 5-6
113,PorterMoss Date,Dynasty 5-6
120,PorterMoss Date,Dynasty 5-6
123,PorterMoss Date,Dynasty 5-6
125,PorterMoss Date,Dynasty 5-6
126,(not entered),Dynasty 6
146,PorterMoss Date,Dynasty 5
148,PorterMoss Date,Dynasty 5-6
156,PorterMoss Date,Dynasty 5-6
169,Baer Date,Dynasty 5
169,PorterMoss Date,Dynasty 5
172,PorterMoss Date,Dynasty 5
173,PorterMoss Date,Middle Dynasty 5 to Dynasty 6
173,Baer Date,End of Dynasty 5 or later
181,Reisner Date,Late Menkaure - post-Neferirkare
181,Verner Date,Late Dynasty 4 - early Dynasty 5
181,PorterMoss Date,Late Dyn 4 or 1st half of Dyn 5
182,PorterMoss Date,2nd half of Dyn 5 or Dyn 6
189,PorterMoss Date,Dynasty 5-6
193,PorterMoss Date,End of Dynasty 5 or Dynasty 6
193,Harpur Date,Unis - Teti ?
193,Reisner Date,Dynasty 5 - after Neferirkare
193,Simpson Date,Dynasty 5 - after Neferirkare
196,Baer Date,Dynasty 6
196,PorterMoss Date,Dynasty 6
205,PorterMoss Date,Late Dynasty 5 or Dynasty 6
209,PorterMoss Date,Late Dynasty 5 or Dynasty 6
210,PorterMoss Date,Late Dynasty 5 or Dynasty 6
215,Baer Date,Dynasty 6
215,PorterMoss Date,Dynasty 6
229,PorterMoss Date,Late Old Kingdom
230,PorterMoss Date,Late Old Kingdom
264,PorterMoss Date,Late Dynasty 5
266,PorterMoss Date,End Dynasty 5
268,PorterMoss Date,Late Dyn 4 or early Dyn 5
270,PorterMoss Date,Dynasty 5-6
281,PorterMoss Date,Dynasty 6
282,PorterMoss Date,End of Dynasty 5 or later
282,Baer Date,End of Dynasty 5 or later
282,Harpur Date,Unis - Dynasty 6
283,PorterMoss Date,End of Dynasty 5 or Dynasty 6
288,PorterMoss Date,Late Dynasty 5
290,PorterMoss Date,Dynasty 5
295,PorterMoss Date,End Dynasty 5
302,PorterMoss Date,Dynasty 5-6
309,Baer Date,Dynasty 4
309,PorterMoss Date,Khufu
311,PorterMoss Date,Khufu
311,Baer Date,Middle of Dynasty 4
312,Baer Date,Mid - Dynasty 5 or later
312,PorterMoss Date,Middle Dynasty 5 or later
313,Baer Date,Khufu
313,PorterMoss Date,Khufu
314,PorterMoss Date,Middle Dynasty 5 or later
314,Baer Date,Mid Dynasty 5 or later
315,PorterMoss Date,Khufu or later
316,PorterMoss Date,Middle Dynasty 5 or later
316,Baer Date,Mid -Dynasty 5 or later
321,PorterMoss Date,Dynasty 5 or 6
322,PorterMoss Date,Dynasty 5
329,PorterMoss Date,Probably Dynasty 5
